LD1	LD2	sampleID
1.6298077	3.8608954	HGDP01275
-3.2856276	4.1317205	HGDP00454
4.2963104	-0.9151477	HGDP00860
-3.6053813	4.2949815	HGDP00455
-0.23269197	-1.721078	HGDP00549
6.0521946	-1.7965361	HGDP00861
-0.2050482	-1.6564649	HGDP00551
1.4070816	1.5143504	HGDP00611
1.5583396	1.4081923	HGDP00730
0.9744871	1.0929385	HGDP00745
1.8349438	1.3275219	HGDP00564
4.1100564	3.3309414	HGDP01377
3.700978	3.4084718	HGDP00666
3.1443493	-3.2740428	HGDP00959
-0.5493163	3.5239751	HGDP01271
2.9133954	-0.25843483	HGDP00433
2.768873	-0.6806595	HGDP00397
2.2909703	-0.2778322	HGDP00237
